"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"146","20141128_Wendy_baseline2",730000,"12m10s","","","","",""
"153","20141128_Wendy_baseline2",765000,"12m45s","","","","",""
"159","20141128_Wendy_baseline2",795000,"13m15s","","","","",""
"169","20141128_Wendy_baseline2",845000,"14m5s","","","","",""
"176","20141128_Wendy_baseline2",880000,"14m40s","","","","",""
"177","20141128_Wendy_baseline2",885000,"14m45s","","","","",""
"178","20141128_Wendy_baseline2",890000,"14m50s","","","","",""
"183","20141128_Wendy_baseline2",915000,"15m15s","","","","",""
"184","20141128_Wendy_baseline2",920000,"15m20s","","","","",""
"188","20141128_Wendy_baseline2",940000,"15m40s","","","","",""
"227","20141128_Wendy_baseline2",1135000,"18m55s","","","","",""
"228","20141128_Wendy_baseline2",1140000,"19m0s","","","","",""
"2301","20141128_Wendy_baseline2",1150000,"19m10s","","","","",""
"2311","20141128_Wendy_baseline2",1155000,"19m15s","","","","",""
"242","20141128_Wendy_baseline2",1210000,"20m10s","","","","",""
"243","20141128_Wendy_baseline2",1215000,"20m15s","","","","",""
"257","20141128_Wendy_baseline2",1285000,"21m25s","","","","",""
"268","20141128_Wendy_baseline2",1340000,"22m20s","","","","",""
"270","20141128_Wendy_baseline2",1350000,"22m30s","","","","",""
"271","20141128_Wendy_baseline2",1355000,"22m35s","","","","",""
"2791","20141128_Wendy_baseline2",1395000,"23m15s","","","","",""
"281","20141128_Wendy_baseline2",1405000,"23m25s","","","","",""
"316","20141128_Wendy_baseline2",1580000,"26m20s","","","","",""
"3181","20141128_Wendy_baseline2",1590000,"26m30s","","","","",""
"319","20141128_Wendy_baseline2",1595000,"26m35s","","","","",""
"328","20141128_Wendy_baseline2",1640000,"27m20s","","","","",""
"335","20141128_Wendy_baseline2",1675000,"27m55s","","","","",""
"337","20141128_Wendy_baseline2",1685000,"28m5s","","","","",""
"338","20141128_Wendy_baseline2",1690000,"28m10s","","","","",""
"3391","20141128_Wendy_baseline2",1695000,"28m15s","","","","",""
"356","20141128_Wendy_baseline2",1780000,"29m40s","","","","",""
"357","20141128_Wendy_baseline2",1785000,"29m45s","","","","",""
"358","20141128_Wendy_baseline2",1790000,"29m50s","","","","",""
"359","20141128_Wendy_baseline2",1795000,"29m55s","","","","",""
"360","20141128_Wendy_baseline2",1800000,"30m0s","","","","",""
"371","20141128_Wendy_baseline2",1855000,"30m55s","","","","",""
"373","20141128_Wendy_baseline2",1865000,"31m5s","","","","",""
"374","20141128_Wendy_baseline2",1870000,"31m10s","","","","",""
"379","20141128_Wendy_baseline2",1895000,"31m35s","","","","",""
"382","20141128_Wendy_baseline2",1910000,"31m50s","","","","",""
"411","20141128_Wendy_baseline2",2055000,"34m15s","","","","",""
"412","20141128_Wendy_baseline2",2060000,"34m20s","","","","",""
"420","20141128_Wendy_baseline2",2100000,"35m0s","","","","",""
"422","20141128_Wendy_baseline2",2110000,"35m10s","","","","",""
"426","20141128_Wendy_baseline2",2130000,"35m30s","","","","",""
"4351","20141128_Wendy_baseline2",2175000,"36m15s","","","","",""
"440","20141128_Wendy_baseline2",2200000,"36m40s","","","","",""
"4411","20141128_Wendy_baseline2",2205000,"36m45s","","","","",""
"444","20141128_Wendy_baseline2",2220000,"37m0s","","","","",""
"4451","20141128_Wendy_baseline2",2225000,"37m5s","","","","",""
"4461","20141128_Wendy_baseline2",2230000,"37m10s","","","","",""
"4471","20141128_Wendy_baseline2",2235000,"37m15s","","","","",""
"450","20141128_Wendy_baseline2",2250000,"37m30s","","","","",""
"4511","20141128_Wendy_baseline2",2255000,"37m35s","","","","",""
"452","20141128_Wendy_baseline2",2260000,"37m40s","","","","",""
"4531","20141128_Wendy_baseline2",2265000,"37m45s","","","","",""
"456","20141128_Wendy_baseline2",2280000,"38m0s","","","","",""
"4571","20141128_Wendy_baseline2",2285000,"38m5s","","","","",""
"4611","20141128_Wendy_baseline2",2305000,"38m25s","","","","",""
"494","20141128_Wendy_baseline2",2470000,"41m10s","","","","",""
"495","20141128_Wendy_baseline2",2475000,"41m15s","","","","",""
"500","20141128_Wendy_baseline2",2500000,"41m40s","","","","",""
"504","20141128_Wendy_baseline2",2520000,"42m0s","","","","",""
"505","20141128_Wendy_baseline2",2525000,"42m5s","","","","",""
"509","20141128_Wendy_baseline2",2545000,"42m25s","","","","",""
"511","20141128_Wendy_baseline2",2555000,"42m35s","","","","",""
"512","20141128_Wendy_baseline2",2560000,"42m40s","","","","",""
"516","20141128_Wendy_baseline2",2580000,"43m0s","","","","",""
"517","20141128_Wendy_baseline2",2585000,"43m5s","","","","",""
"521","20141128_Wendy_baseline2",2605000,"43m25s","","","","",""
"522","20141128_Wendy_baseline2",2610000,"43m30s","","","","",""
"5361","20141128_Wendy_baseline2",2680000,"44m40s","","","","",""
"551","20141128_Wendy_baseline2",2755000,"45m55s","","","","",""
"5541","20141128_Wendy_baseline2",2770000,"46m10s","","","","",""
"558","20141128_Wendy_baseline2",2790000,"46m30s","","","","",""
"561","20141128_Wendy_baseline2",2805000,"46m45s","","","","",""
"5681","20141128_Wendy_baseline2",2840000,"47m20s","","","","",""
"569","20141128_Wendy_baseline2",2845000,"47m25s","","","","",""
"570","20141128_Wendy_baseline2",2850000,"47m30s","","","","",""
"5791","20141128_Wendy_baseline2",2895000,"48m15s","","","","",""
"587","20141128_Wendy_baseline2",2935000,"48m55s","","","","",""
"5981","20141128_Wendy_baseline2",2990000,"49m50s","","","","",""
"603","20141128_Wendy_baseline2",3015000,"50m15s","","","","",""
"614","20141128_Wendy_baseline2",3070000,"51m10s","","","","",""
"616","20141128_Wendy_baseline2",3080000,"51m20s","","","","",""
"618","20141128_Wendy_baseline2",3090000,"51m30s","","","","",""
"619","20141128_Wendy_baseline2",3095000,"51m35s","","","","",""
"627","20141128_Wendy_baseline2",3135000,"52m15s","","","","",""
