"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"451","20141021_Patrick_Session1",2255000,"37m35s","","","","",""
"479","20141021_Patrick_Session1",2395000,"39m55s","","","","",""
"490","20141021_Patrick_Session1",2450000,"40m50s","","","","",""
"494","20141021_Patrick_Session1",2470000,"41m10s","","","","",""
"7","20141021_Patrick_Session2",35000,"0m35s","","","","",""
"43","20141021_Patrick_Session2",215000,"3m35s","","","","",""
"65","20141021_Patrick_Session2",325000,"5m25s","","","","",""
"67","20141021_Patrick_Session2",335000,"5m35s","","","","",""
"71","20141021_Patrick_Session2",355000,"5m55s","","","","",""
"72","20141021_Patrick_Session2",360000,"6m0s","","","","",""
"73","20141021_Patrick_Session2",365000,"6m5s","","","","",""
"74","20141021_Patrick_Session2",370000,"6m10s","","","","",""
"80","20141021_Patrick_Session2",4e+05,"6m40s","","","","",""
"85","20141021_Patrick_Session2",425000,"7m5s","","","","",""
"86","20141021_Patrick_Session2",430000,"7m10s","","","","",""
"95","20141021_Patrick_Session2",475000,"7m55s","","","","",""
"96","20141021_Patrick_Session2",480000,"8m0s","","","","",""
"97","20141021_Patrick_Session2",485000,"8m5s","","","","",""
"1121","20141021_Patrick_Session2",560000,"9m20s","","","","",""
"120","20141021_Patrick_Session2",6e+05,"10m0s","","","","",""
"1271","20141021_Patrick_Session2",635000,"10m35s","","","","",""
"128","20141021_Patrick_Session2",640000,"10m40s","","","","",""
"139","20141021_Patrick_Session2",695000,"11m35s","","","","",""
"140","20141021_Patrick_Session2",7e+05,"11m40s","","","","",""
"146","20141021_Patrick_Session2",730000,"12m10s","","","","",""
"147","20141021_Patrick_Session2",735000,"12m15s","","","","",""
"1481","20141021_Patrick_Session2",740000,"12m20s","","","","",""
"153","20141021_Patrick_Session2",765000,"12m45s","","","","",""
"161","20141021_Patrick_Session2",805000,"13m25s","","","","",""
"162","20141021_Patrick_Session2",810000,"13m30s","","","","",""
"170","20141021_Patrick_Session2",850000,"14m10s","","","","",""
"171","20141021_Patrick_Session2",855000,"14m15s","","","","",""
"184","20141021_Patrick_Session2",920000,"15m20s","","","","",""
"189","20141021_Patrick_Session2",945000,"15m45s","","","","",""
"202","20141021_Patrick_Session2",1010000,"16m50s","","","","",""
"216","20141021_Patrick_Session2",1080000,"18m0s","","","","",""
"2241","20141021_Patrick_Session2",1120000,"18m40s","","","","",""
"238","20141021_Patrick_Session2",1190000,"19m50s","","","","",""
"273","20141021_Patrick_Session2",1365000,"22m45s","","","","",""
"274","20141021_Patrick_Session2",1370000,"22m50s","","","","",""
"279","20141021_Patrick_Session2",1395000,"23m15s","","","","",""
"280","20141021_Patrick_Session2",1400000,"23m20s","","","","",""
"282","20141021_Patrick_Session2",1410000,"23m30s","","","","",""
"284","20141021_Patrick_Session2",1420000,"23m40s","","","","",""
"311","20141021_Patrick_Session2",1555000,"25m55s","","","","",""
"312","20141021_Patrick_Session2",1560000,"26m0s","","","","",""
"3151","20141021_Patrick_Session2",1575000,"26m15s","","","","",""
"330","20141021_Patrick_Session2",1650000,"27m30s","","","","",""
"3351","20141021_Patrick_Session2",1675000,"27m55s","","","","",""
"3361","20141021_Patrick_Session2",1680000,"28m0s","","","","",""
"355","20141021_Patrick_Session2",1775000,"29m35s","","","","",""
"367","20141021_Patrick_Session2",1835000,"30m35s","","","","",""
"373","20141021_Patrick_Session2",1865000,"31m5s","","","","",""
"374","20141021_Patrick_Session2",1870000,"31m10s","","","","",""
"375","20141021_Patrick_Session2",1875000,"31m15s","","","","",""
"376","20141021_Patrick_Session2",1880000,"31m20s","","","","",""
"377","20141021_Patrick_Session2",1885000,"31m25s","","","","",""
"386","20141021_Patrick_Session2",1930000,"32m10s","","","","",""
"387","20141021_Patrick_Session2",1935000,"32m15s","","","","",""
"396","20141021_Patrick_Session2",1980000,"33m0s","","","","",""
"397","20141021_Patrick_Session2",1985000,"33m5s","","","","",""
"3981","20141021_Patrick_Session2",1990000,"33m10s","","","","",""
"4021","20141021_Patrick_Session2",2010000,"33m30s","","","","",""
"4031","20141021_Patrick_Session2",2015000,"33m35s","","","","",""
"440","20141021_Patrick_Session2",2200000,"36m40s","","","","",""
"452","20141021_Patrick_Session2",2260000,"37m40s","","","","",""
"459","20141021_Patrick_Session2",2295000,"38m15s","","","","",""
"462","20141021_Patrick_Session2",2310000,"38m30s","","","","",""
"463","20141021_Patrick_Session2",2315000,"38m35s","","","","",""
"464","20141021_Patrick_Session2",2320000,"38m40s","","","","",""
"465","20141021_Patrick_Session2",2325000,"38m45s","","","","",""
"467","20141021_Patrick_Session2",2335000,"38m55s","","","","",""
"472","20141021_Patrick_Session2",2360000,"39m20s","","","","",""
"473","20141021_Patrick_Session2",2365000,"39m25s","","","","",""
"489","20141021_Patrick_Session2",2445000,"40m45s","","","","",""
"491","20141021_Patrick_Session2",2455000,"40m55s","","","","",""
"496","20141021_Patrick_Session2",2480000,"41m20s","","","","",""
"498","20141021_Patrick_Session2",2490000,"41m30s","","","","",""
"502","20141021_Patrick_Session2",2510000,"41m50s","","","","",""
"503","20141021_Patrick_Session2",2515000,"41m55s","","","","",""
"505","20141021_Patrick_Session2",2525000,"42m5s","","","","",""
"507","20141021_Patrick_Session2",2535000,"42m15s","","","","",""
"556","20141021_Patrick_Session2",2780000,"46m20s","","","","",""
"561","20141021_Patrick_Session2",2805000,"46m45s","","","","",""
"564","20141021_Patrick_Session2",2820000,"47m0s","","","","",""
