Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,21156,66,21222,1050.2,1352.0,949.7,1450.6,12.3,-,-,-,-,-,-,Binocular,47,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,21321,66,21388,979.6,1469.9,1055.7,1329.9,7.5,-,-,-,-,-,-,Binocular,48,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,21454,66,21521,984.5,1467.1,1068.3,1331.2,7.5,-,-,-,-,-,-,Binocular,49,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,21588,65,21654,-350.8,-1160.8,1063.7,1323.0,261.4,-,-,-,-,-,-,Binocular,50,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,21654,66,21720,1063.7,1321.4,968.0,1439.3,7.0,-,-,-,-,-,-,Binocular,51,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22021,66,22087,959.4,1283.8,987.8,1433.5,9.1,-,-,-,-,-,-,Binocular,52,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22120,66,22187,987.1,1425.6,1005.5,1286.3,12.9,-,-,-,-,-,-,Binocular,53,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22187,67,22254,1006.3,1285.3,976.4,1412.3,5.7,-,-,-,-,-,-,Binocular,54,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22420,99,22519,975.2,1406.6,1008.0,1256.9,22.9,-,-,-,-,-,-,Binocular,55,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22586,66,22652,1021.5,1255.0,1001.3,1388.3,8.1,-,-,-,-,-,-,Binocular,56,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22719,66,22785,1004.1,1381.3,1003.4,1368.8,0.7,-,-,-,-,-,-,Binocular,57,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22854,64,22919,1009.1,1351.1,1071.4,1239.5,6.9,-,-,-,-,-,-,Binocular,58,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,22919,68,22987,1094.4,1252.0,1009.8,1344.6,7.2,-,-,-,-,-,-,Binocular,59,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23019,70,23089,1030.0,1371.0,1077.9,1261.0,6.7,-,-,-,-,-,-,Binocular,60,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23118,66,23185,1033.1,1373.6,1083.3,1251.1,6.4,-,-,-,-,-,-,Binocular,61,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23253,65,23318,1081.3,1253.9,1093.3,1251.3,0.8,-,-,-,-,-,-,Binocular,62,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23318,66,23384,1093.5,1251.8,1028.8,1343.9,5.1,-,-,-,-,-,-,Binocular,63,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23584,68,23653,1009.8,1361.6,1056.7,1214.5,8.7,-,-,-,-,-,-,Binocular,64,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23685,98,23784,1071.4,1339.3,1073.3,1180.3,23.8,-,-,-,-,-,-,Binocular,65,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,23884,66,23950,1054.9,1277.4,1079.8,1172.4,9.7,-,-,-,-,-,-,Binocular,66,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,24084,98,24183,1052.4,1258.2,1077.1,1152.3,23.7,-,-,-,-,-,-,Binocular,67,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,24250,66,24316,1062.5,1251.8,1093.5,1135.0,5.2,-,-,-,-,-,-,Binocular,68,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,24416,100,24516,1092.6,1126.6,1063.3,1225.1,14.6,-,-,-,-,-,-,Binocular,69,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,24616,67,24683,1072.5,1233.4,1071.3,1226.8,0.5,-,-,-,-,-,-,Binocular,70,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,24715,66,24782,1070.0,1229.0,1060.7,1212.5,1.0,-,-,-,-,-,-,Binocular,71,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,24849,101,24950,971.1,1181.9,0.0,0.0,224.2,-,-,-,-,-,-,Binocular,72,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,25015,66,25081,0.0,0.0,377.7,376.0,24.6,-,-,-,-,-,-,Binocular,73,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,25314,99,25414,572.0,490.9,326.1,43.6,151.7,-,-,-,-,-,-,Binocular,74,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,25514,66,25581,330.8,113.0,306.0,136.7,2.3,-,-,-,-,-,-,Binocular,75,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,25581,66,25647,305.0,151.9,334.9,129.6,2.4,-,-,-,-,-,-,Binocular,76,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,25714,99,25813,374.4,150.8,1024.7,138.2,93.8,-,-,-,-,-,-,Binocular,77,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,25913,66,25980,1026.6,140.9,1016.8,132.8,0.7,-,-,-,-,-,-,Binocular,78,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,26084,61,26146,991.9,100.4,976.2,84.6,1.7,-,-,-,-,-,-,Binocular,79,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,26213,66,26279,876.3,71.2,649.6,-92.7,16.4,-,-,-,-,-,-,Binocular,80,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,26589,92,26681,641.8,-97.0,613.9,-41.8,11.7,-,-,-,-,-,-,Binocular,81,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,26816,62,26879,557.8,11.7,355.2,-141.7,18.0,-,-,-,-,-,-,Binocular,82,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,27013,65,27078,330.9,-122.3,314.9,-153.1,2.2,-,-,-,-,-,-,Binocular,83,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,27344,100,27445,395.8,38.6,265.9,-142.5,46.3,-,-,-,-,-,-,Binocular,84,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,27610,66,27676,356.2,-55.6,242.0,-121.1,9.0,-,-,-,-,-,-,Binocular,85,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,27845,97,27943,301.1,-67.7,0.0,0.0,43.6,-,-,-,-,-,-,Binocular,86,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28011,135,28147,0.0,0.0,886.6,1166.4,280.3,-,-,-,-,-,-,Binocular,87,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28276,65,28342,921.6,1236.1,938.6,1301.2,3.6,-,-,-,-,-,-,Binocular,88,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28408,66,28475,929.3,1300.9,938.9,1332.9,2.6,-,-,-,-,-,-,Binocular,89,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28475,66,28542,948.4,1340.0,1003.8,1150.9,9.6,-,-,-,-,-,-,Binocular,90,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28708,99,28808,918.3,1308.9,893.3,1275.9,15.3,-,-,-,-,-,-,Binocular,91,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28874,66,28941,460.7,1368.2,0.0,0.0,86.7,-,-,-,-,-,-,Binocular,92,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,28941,99,29041,0.0,0.0,509.5,554.1,110.1,-,-,-,-,-,-,Binocular,93,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,29207,100,29307,520.7,534.2,537.3,505.2,6.3,-,-,-,-,-,-,Binocular,94,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,29407,66,29473,466.3,417.9,335.2,137.3,19.9,-,-,-,-,-,-,Binocular,95,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,29573,133,29706,296.1,-35.1,255.2,-42.2,20.7,-,-,-,-,-,-,Binocular,96,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,29806,66,29872,289.7,-26.5,309.9,4.9,2.7,-,-,-,-,-,-,Binocular,97,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,29906,99,30005,436.0,159.9,580.9,371.1,60.4,-,-,-,-,-,-,Binocular,98,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,30108,64,30172,582.0,376.9,584.1,387.5,0.7,-,-,-,-,-,-,Binocular,99,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,30372,99,30471,602.4,389.8,589.5,361.6,3.9,-,-,-,-,-,-,Binocular,100,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,30604,66,30671,602.9,351.0,568.6,408.3,3.3,-,-,-,-,-,-,Binocular,101,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,30772,65,30837,617.1,390.2,641.6,372.2,2.2,-,-,-,-,-,-,Binocular,102,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,30904,66,30970,650.4,342.4,552.2,374.1,6.1,-,-,-,-,-,-,Binocular,103,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,31037,67,31104,553.3,392.4,537.4,381.6,1.3,-,-,-,-,-,-,Binocular,104,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,31137,68,31205,550.0,389.6,564.4,238.1,8.2,-,-,-,-,-,-,Binocular,105,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,31436,99,31536,689.9,136.2,641.9,264.9,41.6,-,-,-,-,-,-,Binocular,106,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,31636,66,31703,618.3,277.3,615.8,246.1,2.1,-,-,-,-,-,-,Binocular,107,
