Trial,Subject,Color,Name,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,644381,66,644448,987.2,427.7,959.0,422.6,2.0,-,-,-,-,-,-,Binocular,2049,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,644481,66,644548,943.8,413.3,821.8,428.8,5.9,-,-,-,-,-,-,Binocular,2050,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,644747,66,644814,848.1,413.1,841.2,414.2,0.4,-,-,-,-,-,-,Binocular,2051,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,644881,66,644947,843.8,418.2,877.8,420.1,1.9,-,-,-,-,-,-,Binocular,2052,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,645080,66,645147,887.0,415.8,907.7,403.3,1.5,-,-,-,-,-,-,Binocular,2053,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,645380,99,645480,934.5,414.1,983.0,419.0,3.0,-,-,-,-,-,-,Binocular,2054,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,645579,66,645646,989.3,422.5,1000.3,425.6,0.7,-,-,-,-,-,-,Binocular,2055,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,645746,133,645879,982.1,439.1,979.1,289.9,7.4,-,-,-,-,-,-,Binocular,2056,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,646411,233,646644,1179.9,396.3,1248.4,353.8,31.2,-,-,-,-,-,-,Binocular,2057,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,646777,99,646877,1000.1,424.0,690.3,492.0,22.3,-,-,-,-,-,-,Binocular,2058,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,647143,66,647210,832.7,414.5,944.7,388.7,5.9,-,-,-,-,-,-,Binocular,2059,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,647676,66,647742,779.8,435.6,705.4,447.5,4.0,-,-,-,-,-,-,Binocular,2060,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,648075,66,648141,779.3,434.9,696.8,445.5,5.3,-,-,-,-,-,-,Binocular,2061,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,648308,99,648408,708.0,449.2,723.7,449.7,1.2,-,-,-,-,-,-,Binocular,2062,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,648641,66,648707,718.3,464.8,731.6,463.2,1.0,-,-,-,-,-,-,Binocular,2063,
